PostalCode,Neighbourhood,Latitude,Longitude
121104,Rethath,28.47762000000006,77.06952000000007
122103,Rewasan,28.47762000000006,77.06952000000007
122102,Rithoj,28.34331000000003,77.10065000000003
122103,RojkaMeo,28.47762000000006,77.06952000000007
122108,Sakras,28.49559000000005,77.08886000000007
122015,Sarhaul,28.489971234374796,77.07300606306816
122011,sec56,28.426840000000027,77.09740000000005
122003,sec45,28.44551000000007,77.06736000000006
122001,sec17,28.480180000000075,77.05933000000005
123506,Sewari,28.467300000000023,76.72504000000004
121104,Shahchokha,27.889110000000073,77.13744000000008
123502,Sherpur,28.32561000000004,76.69635000000005
122001,ShivajiNagar,28.454980000000035,77.02526000000006
123413,Sidhrawali,28.26508000000007,76.83241000000004
121104,SihriSinghalheri,28.47762000000006,77.06952000000007
122004,Sikanderpur,28.48382076989491,77.09726296021022
122004,Sikohpur,28.38226603258832,76.97058501653167
121104,Sikrawa,28.47762000000006,77.06952000000007
121104,Singar,28.46022000000005,77.03203000000008
122003,Smaspur,28.419196629205516,77.07207481726708
122103,Sohna,28.246140000000025,77.06854000000004
122001,SohnaAdda,28.246140000000025,77.06854000000004
122107,Sudaka,28.47762000000006,77.06952000000007
123506,Sultanpur,28.47049000000004,76.91297000000003
122105,Sundh,28.47762000000006,77.06952000000007
123414,SyedShahpur,28.47762000000006,77.06952000000007
122107,Tain,28.470110000000034,77.04487000000006
122107,Tapkan,28.47762000000006,77.06952000000007
123502,Tatarpur,28.34283000000005,76.86381000000006
122105,Tauru,28.24278761275447,77.06203876449143
122101,Teekli,28.47762000000006,77.06952000000007
123502,Turkiawas,28.234950000000026,76.69317000000007
122107,Ujina,28.47762000000006,77.06952000000007
122108,Umra,28.471040000000073,77.03433000000007
123003,Unchamajra,28.310350000000028,76.80856000000006
122001,UrbanEstate,28.471131000000007,77.01193575000003
123505,Wazipur,28.42154000000005,76.91656000000006
122003,Wazirabad,28.43213211779432,77.09120625424454
